ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
GRMN,,,,,,,,,,,,,,,,,,,,,$149.80,29346267371.0,19.0,,
GS,,,,,,,,,,9.73,15.0%,1.5,18.3%,2.1,29.9%,5.87,6.1%,2.19,8.7%,15.6%,$386.84,129689993495.0,7.0,$384.49,6295.0
GWW,,,,,,,,,,,,,,,,,,,,,$457.90,23957534424.0,6.0,,
HAL,,,,,,,,,,,,,,,,,,,,,$24.65,21245635292.0,116.0,,
HAS,,,,,,,,,,,,,,,,,,,,,$97.74,13705215849.0,29.0,,
HBAN,,,,,,,,,,,,,,,,,,,,,$14.54,14893312862.0,198.0,,
HBI,,,,,,,,,,,,,,,,,,,,,$18.89,6649204735.0,152.0,,
HCA,,,,,,,,,,,,,,,,,,,,,$219.58,73459558115.0,13.0,,
HD,,,,,,,,,,,,,,,,,,,,,$323.07,347687007653.0,8.0,,
HES,81.35%,81.19%,71.99%,98.61%,19.88%,91.49%,1.60%,64.16%,83.86%,,,,,,,,,,,,$91.21,27862012537.0,31.0,$92.34,876.0
HFC,,,,,,,,,,-35.78,4.8%,1.02,11.2%,0.48,2.6%,8.29,13.7%,2.82,11.7%,8.8%,$34.01,5509865869.0,84.0,$34.20,70781.0
HIG,,,,,,,,,,13.29,22.0%,1.34,16.1%,1.07,10.1%,5.65,5.9%,1.07,3.2%,11.5%,$63.10,23297015509.0,45.0,$62.54,38706.0
HII,,,,,,,,,,,,,,,,,,,,,$217.80,8885276930.0,13.0,,
HLT,,,,,,,,,,,,,,,,,,,,,$126.84,35890676095.0,22.0,,
HOLX,,,,,,,,,,,,,,,,,,,,,$70.16,17986798791.0,41.0,,
HON,,,,,,,,,,,,,,,,,,,,,$229.61,159440364690.0,12.0,,
HPE,,,,,,,,,,,,,,,,,,,,,$14.81,19583982980.0,194.0,,
HPQ,,,,,,,,,,11.43,18.4%,-11.28,3.2%,0.61,4.2%,8.2,12.7%,3.27,14.7%,10.6%,$31.68,38311560273.0,91.0,$31.10,77836.0
HRB,,,,,,,,,,,,,,,,,,,,,$24.50,4492821659.0,117.0,,
HRL,,,,,,,,,,,,,,,,,,,,,$49.56,26878966245.0,58.0,,
HSIC,,,,,,,,,,,,,,,,,,,,,$76.88,11004318375.0,37.0,,
HST,,,,,,,,,,,,,,,,,,,,,$17.66,12532042481.0,163.0,,
HSY,,,,,,,,,,,,,,,,,,,,,$176.13,37099189201.0,16.0,,
HUM,,,,,,,,,,,,,,,,,,,,,$466.51,60450588574.0,6.0,,
HWM,,,,,,,,,,,,,,,,,,,,,$35.42,15702255149.0,81.0,,
IBM,,,,,,,,,,,,,,,,,,,,,$151.82,136848000215.0,18.0,,
ICE,,,,,,,,,,,,,,,,,,,,,$120.23,69449041002.0,23.0,,
IDXX,95.05%,86.34%,29.11%,73.07%,32.27%,99.21%,16.29%,98.22%,89.21%,,,,,,,,,,,,$670.46,57231757627.0,4.0,$676.70,119.0
IEX,,,,,,,,,,,,,,,,,,,,,$226.74,17011253186.0,12.0,,
IFF,,,,,,,,,,,,,,,,,,,,,$153.95,37705757174.0,18.0,,
ILMN,,,,,,,,,,,,,,,,,,,,,$480.19,69913213987.0,6.0,,
INCY,,,,,,,,,,,,,,,,,,,,,$83.60,18762835240.0,34.0,,
INFO,,,,,,,,,,,,,,,,,,,,,$117.20,49542584580.0,24.0,,
INTC,,,,,,,,,,,,,,,,,,,,,$57.44,233099470383.0,50.0,,
INTU,66.53%,70.30%,30.17%,75.25%,24.64%,96.44%,12.12%,95.05%,84.26%,,,,,,,,,,,,$517.41,142540587643.0,5.0,$501.39,161.0
IP,,,,,,,,,,,,,,,,,,,,,$63.56,23934819058.0,45.0,,
IPG,,,,,,,,,,,,,,,,,,,,,$34.09,13199536238.0,84.0,,
IPGP,,,,,,,,,,,,,,,,,,,,,$216.48,11618313525.0,13.0,,
IQV,77.35%,78.22%,38.66%,86.73%,25.12%,97.03%,4.26%,77.43%,84.85%,,,,,,,,,,,,$255.01,48360885659.0,11.0,$251.65,321.0
IR,,,,,,,,,,,,,,,,,,,,,$50.37,21093065907.0,57.0,,
IRM,,,,,,,,,,,,,,,,,,,,,$42.59,12481669881.0,67.0,,
ISRG,,,,,,,,,,,,,,,,,,,,,$943.40,112399280900.0,3.0,,
IT,107.52%,91.09%,57.23%,96.44%,32.85%,99.60%,6.90%,84.75%,92.97%,,,,,,,,,,,,$254.00,21754689963.0,11.0,$258.87,312.0
ITW,,,,,,,,,,,,,,,,,,,,,$226.30,74384028773.0,12.0,,
IVZ,,,,,,,,,,,,,,,,,,,,,$27.84,12702172015.0,103.0,,
J,,,,,,,,,,,,,,,,,,,,,$136.22,18170039285.0,21.0,,
JBHT,,,,,,,,,,,,,,,,,,,,,$173.65,17793603767.0,16.0,,
JCI,111.31%,91.68%,51.11%,95.05%,15.92%,84.75%,3.39%,73.86%,86.34%,,,,,,,,,,,,$71.64,49901605733.0,40.0,$69.97,1156.0
JKHY,,,,,,,,,,,,,,,,,,,,,$170.85,12621491214.0,16.0,,
JNJ,,,,,,,,,,,,,,,,,,,,,$172.60,443711506129.0,16.0,,
JNPR,,,,,,,,,,,,,,,,,,,,,$27.44,9056423656.0,105.0,,
JPM,,,,,,,,,,,,,,,,,,,,,$162.60,490737127961.0,17.0,,
K,,,,,,,,,,,,,,,,,,,,,$64.55,22128677964.0,44.0,,
KEY,,,,,,,,,,,,,,,,,,,,,$21.66,21052714365.0,133.0,,
KEYS,,,,,,,,,,,,,,,,,,,,,$158.36,29076353554.0,18.0,,
KHC,,,,,,,,,,,,,,,,,,,,,$40.99,51472476500.0,70.0,,
KIM,,,,,,,,,,,,,,,,,,,,,$21.30,9411206008.0,135.0,,
KLAC,,,,,,,,,,,,,,,,,,,,,$326.89,49103020392.0,8.0,,
KMB,,,,,,,,,,,,,,,,,,,,,$139.87,46420115839.0,20.0,,
KMI,,,,,,,,,,,,,,,,,,,,,$18.61,42576794516.0,155.0,,
